grid_size,num_players,item_idx,congestion,dP,dV
5,20,2,8.0,-0.5928076404052112,3.0
5,20,0,5.0,0.46212998972046027,3.0
5,20,1,8.0,-0.03859760841088811,0.0
5,20,2,5.0,-0.028377433978166167,0.0
5,20,1,2.0,-0.33623362118814276,0.0
5,20,0,2.0,-0.21335697287570782,0.0
5,20,4,7.0,0.1417304043609251,-3.0
5,20,4,6.0,-0.4144310511015856,0.0
5,20,2,2.0,-0.0022353686619853972,0.0
5,20,5,7.0,-0.1975453712809534,3.0
5,20,1,5.0,0.5278020621035973,0.0
5,20,0,3.0,-0.8648290314972349,-3.0
5,20,10,3.0,-0.14054192748430783,3.0
5,20,7,12.0,-0.26101565322092934,0.0
5,20,2,3.0,-0.41533970208768145,0.0
5,20,9,3.0,-0.24098385893340923,0.0
5,20,2,4.0,-0.07548655571020069,0.0
5,20,3,4.0,-0.0293513835856678,0.0
5,20,1,3.0,0.23434109432839456,0.0
5,20,0,7.0,-0.5308312535120523,0.0
5,20,6,6.0,-0.0830739845603099,0.0
5,20,5,9.0,-0.8595600543031479,3.0
5,20,1,4.0,-0.186916118384997,0.0
5,20,6,8.0,-0.20931696533616506,0.0
5,20,9,10.0,-0.3437983310197721,0.0
5,20,2,4.0,-0.26167416053156334,-3.0
5,20,0,2.0,-0.290104175085953,0.0
5,20,5,7.0,-0.4419440644585677,0.0
5,20,10,3.0,-0.31644139708311103,3.0
5,20,8,7.0,0.14609443258691623,-3.0
5,20,7,6.0,0.27010381141494744,3.0
5,20,9,5.0,-0.0758509924311328,0.0
5,20,8,6.0,-0.13314741628578286,3.0
5,20,6,8.0,-0.22292962698783292,3.0
5,20,2,4.0,-0.3749463540590625,3.0
5,20,3,2.0,0.014105783194659764,3.0
5,20,1,5.0,-0.147536610353471,0.0
5,20,0,2.0,-0.010388876944137954,0.0
5,20,4,6.0,-0.5626284154782937,0.0
7,40,0,2.0,-0.07615536316887299,0.0
7,40,6,4.0,-0.4117327066361369,3.0
7,40,4,5.0,-0.28553267574818353,3.0
7,40,7,6.0,-0.2706673357781031,3.0
7,40,9,8.0,0.15610478668788108,3.0
7,40,23,1.0,0.02638978804259523,0.0
7,40,20,7.0,-0.27956691417738,3.0
7,40,19,4.0,-0.5941726583491014,0.0
7,40,16,7.0,-0.4423617611267563,0.0
7,40,13,9.0,-0.033387177194073914,0.0
7,40,24,3.0,-0.4295023355428014,0.0
7,40,22,1.0,-0.017033133658238955,0.0
7,40,2,6.0,-0.010729158041806297,0.0
7,40,10,3.0,-0.21656879813956675,3.0
7,40,9,6.0,-0.29924679142630106,0.0
7,40,2,9.0,-0.20523576695033618,-3.0
7,40,8,11.0,0.21894143441064884,0.0
7,40,3,8.0,0.5976598589608182,0.0
7,40,7,12.0,-0.3052422774484791,0.0
7,40,6,6.0,-0.04316920061942753,0.0
7,40,8,8.0,-0.30388884319582843,0.0
7,40,7,10.0,-0.18102555202031567,0.0
7,40,5,6.0,-0.35744662655101855,3.0
7,40,0,6.0,0.43099401959860595,3.0
7,40,13,9.0,-0.3181698504039021,0.0
7,40,12,10.0,0.04654155209691968,0.0
7,40,15,10.0,-0.6509195378388339,0.0
7,40,4,10.0,-0.6052858355020092,0.0
7,40,8,9.0,0.2538316165747263,0.0
7,40,7,9.0,0.4883384066487624,3.0
7,40,5,7.0,-0.8177062495290635,0.0
7,40,1,3.0,0.02637064089563812,0.0
7,40,10,9.0,0.31496978734356507,0.0
7,40,15,13.0,-0.21385581775743034,0.0
7,40,2,10.0,-0.5580771897159718,0.0
7,40,6,13.0,-0.03127489138636452,-3.0
7,40,9,7.0,0.22656431836400426,0.0
7,40,2,7.0,0.08700362195813405,0.0
7,40,15,8.0,-0.1787711776855625,-3.0
7,40,11,7.0,-0.31755495283438684,0.0
7,40,8,8.0,0.14281037377672856,0.0
7,40,1,9.0,-0.016770635991628424,0.0
7,40,15,5.0,-1.034500576742027,0.0
7,40,18,7.0,-0.6148245904065162,6.0
7,40,21,7.0,-0.6381263973489526,0.0
