grid,players,C,trial,slack_found,boosted,equilibrium,rounds,delta_final,time_sec,avg_demand_change,avg_max_price,avg_price_std
5,5,2,0,0,True,True,74,0.25,3.229307500005234,0.4931506849315068,4.001098577744565,1.529831140237265
5,5,2,1,1,False,True,14,0.5,8.931637100002263,0.603755868544601,6.149722682845865,2.006252021288849
5,5,2,2,0,False,True,12,0.5,0.39243180002085865,0.2727272727272727,3.0,1.1207108389414926
5,5,2,3,0,False,True,13,0.5,0.522444500005804,0.3833333333333333,3.25,1.1391767223540485
5,5,2,4,0,False,True,22,0.5,0.8134351999615319,0.2666666666666667,5.0,1.6029307664446204
5,5,3,0,0,False,True,28,0.5,1.1653549000038765,0.2962962962962963,6.333333333333333,1.6596267007915158
5,5,3,1,0,False,True,13,0.5,0.39841700001852587,0.35000000000000003,2.625,0.9557223359726446
5,5,3,2,0,False,True,24,0.5,1.2985225999727845,0.6173913043478262,5.282608695652174,1.5934148054476225
5,5,3,3,0,True,True,76,0.25,4.105604999989737,0.5013333333333333,6.079199194055471,1.9030177862668605
5,5,3,4,0,False,True,19,0.5,0.8229495999985375,0.3222222222222222,3.8333333333333335,1.441456592018462
5,5,4,0,0,False,True,26,0.5,0.9724206000100821,0.32800000000000007,6.5,1.8139552432260337
5,5,4,1,0,False,True,12,0.5,0.5829137000255287,0.6363636363636364,2.8636363636363638,0.8934285376387023
5,5,4,2,0,False,True,20,0.5,0.9251618999987841,0.431578947368421,4.815789473684211,1.6996539055601447
5,5,4,3,1,False,True,9,0.5,12.567752200004179,0.6615384615384615,5.673896693694389,1.7348148434360424
5,5,4,4,0,False,True,14,0.5,0.6486090000253171,0.5384615384615384,3.1153846153846154,1.108978901429563
5,8,2,0,1,False,True,15,0.5,15.306564399972558,0.4053738317757009,4.842239937084208,1.7360958516595864
5,8,2,1,0,True,True,77,0.25,6.066768100019544,0.4555921052631579,5.33480348974835,1.8650789385253466
5,8,2,2,0,False,True,14,0.5,0.8322522999951616,0.3557692307692308,3.3846153846153846,1.3547154471515628
5,8,2,3,1,False,True,19,0.5,16.988771399948746,0.4793577981651376,8.384647054720464,2.594985111095936
5,8,2,4,1,False,True,14,0.5,14.111001299985219,0.5176056338028169,10.29508703446547,3.021092861194738
5,8,3,0,0,True,True,94,0.25,7.416416599997319,0.31451612903225806,7.871410125558583,2.523472298819436
5,8,3,1,0,False,True,33,0.5,2.846352599968668,0.59765625,7.03125,1.908685030782185
5,8,3,2,1,False,True,20,0.5,20.021882299974095,0.5804794520547946,8.33993977763689,2.493424711620394
5,8,3,3,0,False,True,19,0.5,1.2765357000171207,0.3958333333333333,4.555555555555555,1.6821208900384996
5,8,3,4,1,False,True,14,0.5,20.224098499980755,0.4102112676056338,4.471511500526976,1.561468422959797
5,8,4,0,0,False,True,46,0.5,3.154057699954137,0.31666666666666665,7.9222222222222225,2.491373672820193
5,8,4,1,1,False,True,13,0.5,17.418136599997524,0.589622641509434,10.072971577280526,3.258700414825598
5,8,4,2,0,True,True,81,0.25,6.6669258999754675,0.4171875,5.990594268050228,1.7523784678321672
5,8,4,3,1,False,True,21,0.5,18.39064200001303,0.39943181818181817,9.26923127636091,3.474781571041723
5,8,4,4,0,False,True,21,0.5,1.3729599000071175,0.275,5.25,1.945182678203972
5,12,2,0,0,False,True,23,0.5,2.7830411000177264,0.4356060606060606,5.0,1.662793928247657
5,12,2,1,0,True,True,83,0.25,9.444245300022885,0.2632113821138211,6.939102536359047,2.122560080808569
5,12,2,2,0,True,True,89,0.25,8.560912899964023,0.23768939393939395,7.571013054575231,2.636964617711126
5,12,2,3,0,False,True,21,0.5,2.195171100029256,0.3458333333333333,4.7,1.6414994205452964
5,12,2,4,1,False,True,14,0.5,24.867433000006713,0.5019561815336463,8.44167902371086,2.7861522216068124
5,12,3,0,0,False,True,20,0.5,1.8739299000008032,0.2850877192982456,4.921052631578948,1.817800368401301
5,12,3,1,1,False,True,20,0.5,23.888172600010876,0.3915525114155251,7.5065895521027075,2.434654178738897
5,12,3,2,0,False,True,15,0.5,1.6025115000084043,0.3392857142857143,3.642857142857143,1.2650412401923246
5,12,3,3,1,False,True,15,0.5,22.85621070000343,0.3605919003115265,8.055779808481192,2.326105275949618
5,12,3,4,1,False,True,9,0.5,27.573084699979518,0.4330929487179487,5.514117555407963,1.6961427657480301
5,12,4,0,1,False,True,20,0.5,25.12849939998705,0.39535768645357683,7.386404909477609,2.4280446509117164
5,12,4,1,1,False,True,19,0.5,28.697552700003143,0.45565749235474,6.700781964718458,1.527338242231353
5,12,4,2,1,False,True,11,0.5,25.472106000001077,0.5218253968253969,7.985001451441009,2.4641769679445207
5,12,4,3,0,False,True,14,0.5,1.349903499998618,0.41025641025641024,3.5,0.7508138954501214
5,12,4,4,1,False,True,27,0.5,27.967426000046544,0.47345132743362833,8.520896584561209,2.936907243492408
5,20,2,0,0,False,True,26,0.5,3.26372500002617,0.18600000000000003,6.22,2.5069135819410473
5,20,2,1,0,True,True,83,0.25,13.230677400017157,0.2786585365853658,8.162904675738979,1.7554673604135431
5,20,2,2,0,False,True,32,0.5,4.478821200027596,0.18870967741935482,7.854838709677419,2.938534008192222
5,20,2,3,1,False,True,21,0.5,29.54947109997738,0.17613636363636365,10.621095455637853,2.9986589998361497
5,20,2,4,1,False,True,17,0.5,32.08559790003346,0.2655092592592593,9.183138829462617,2.793693707823868
5,20,3,0,1,False,True,22,0.5,34.140578099992126,0.25950226244343894,10.375761240913727,2.1180711650059307
5,20,3,1,1,False,True,19,0.5,30.363703300012276,0.21444954128440366,9.293791326141072,2.4177079695873362
5,20,3,2,1,False,True,21,0.5,34.0210941999685,0.19318181818181818,9.201442069795771,2.725692467321798
5,20,3,3,0,False,True,25,0.5,3.6291554999770597,0.22083333333333333,6.0,1.0779818084263302
5,20,3,4,1,False,True,19,0.5,32.775338599982206,0.22522935779816514,9.979953405326363,1.6027744108079014
5,20,4,0,1,False,True,17,0.5,36.66413140000077,0.19236111111111112,8.938076957406428,1.8907498870432846
5,20,4,1,1,False,True,19,0.5,36.25978560000658,0.20389908256880734,7.692406600058245,1.2840214372562029
5,20,4,2,1,False,True,26,0.5,38.598768900032155,0.26355555555555554,8.825963803929907,2.7028338019032496
5,20,4,3,0,False,True,28,0.5,4.241885999974329,0.1962962962962963,6.203703703703703,1.4739467786626792
5,20,4,4,1,False,True,21,0.5,34.166366999968886,0.20227272727272727,9.509466718255718,2.805304123174873
7,5,2,0,0,False,True,17,0.5,0.5830444000312127,0.2,4.0625,0.8783324191962663
7,5,2,1,0,False,True,23,0.5,0.835741400020197,0.2818181818181818,5.409090909090909,1.3046436072641054
